start_time,innode,inqueue,status,node_1_startprogress,node_1_end,node_2_startprogress,node_2_end,node_3_startprogress,node_3_end,node_4_startprogress,node_4_end,node_5_startprogress,node_5_end,node_6_startprogress,node_6_end,node_7_startprogress,node_7_end,node_8_startprogress,node_8_end
4873.928826037354,0.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4851.688916198022,8.0,0.0,4.0,4855.513217985923,4857.851466472184,4857.9074581012,4858.632203096799,4861.804947547061,4862.243601929193,4865.552506866725,4869.092637286425,4869.092637286425,4871.964327842909,4871.964327842909,4872.398180753289,4872.398180753289,4874.029171861053,4874.029171861053,4875.010992801206
4853.326074806475,8.0,0.0,4.0,4857.851466472184,4859.872585083169,4859.872585083169,4860.775924327129,4862.243601929193,4864.821616401073,4869.092637286425,4869.846048140673,4871.964327842909,4873.114855845043,4873.114855845043,4875.149571027788,4875.149571027788,4876.266342189609,4876.266342189609,4877.143714228661
4855.365031035189,8.0,0.0,4.0,4859.872585083169,4860.466478031042,4860.775924327129,4861.894767546012,4864.821616401073,4865.217227115452,4869.846048140673,4873.37786674105,4873.37786674105,4876.121812996779,4876.121812996779,4877.853209714343,4877.853209714343,4877.895717012663,4877.895717012663,4879.0243352253965
4869.171683955276,3.0,0.0,3.0,4870.361186978775,4872.47078101469,4872.47078101469,4873.7818221563,4874.120298437699,4874.626624354699,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4881.912602051485,1.0,0.0,3.0,4881.912602051485,4881.981863819019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4859.072611167565,8.0,0.0,4.0,4860.466478031042,4860.783546737096,4861.894767546012,4862.478723070017,4865.217227115452,4866.083538908811,4873.37786674105,4873.932345487455,4876.121812996779,4876.409508818163,4877.853209714343,4879.32452514632,4879.32452514632,4881.823210824572,4881.823210824572,4883.453711931997
4859.166261159384,8.0,0.0,4.0,4860.783546737096,4862.7139915208745,4862.7139915208745,4862.871654552704,4866.083538908811,4866.375358326101,4873.932345487455,4877.298394462834,4877.298394462834,4879.1615026266,4879.32452514632,4879.970345887502,4881.823210824572,4882.48716059973,4883.453711931997,4885.207049062833
4861.026328660709,8.0,0.0,4.0,4863.1263234115795,4865.167876477396,4865.167876477396,4866.063336388784,4866.759825759287,4869.700379206518,4877.298394462834,4877.496356228598,4879.1615026266,4879.861487832172,4879.970345887502,4881.120990469699,4882.48716059973,4883.537067282262,4885.207049062833,4885.714470620048
4862.6269391266615,8.0,0.0,4.0,4865.167876477396,4866.599555407118,4866.599555407118,4866.928746158801,4869.700379206518,4872.093316855527,4877.496356228598,4877.979148901308,4879.861487832172,4880.260937584531,4881.120990469699,4881.473484770652,4883.537067282262,4884.18816953528,4885.714470620048,4886.380160910337
4883.093709153846,1.0,0.0,3.0,4883.093709153846,4884.422912886273,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4885.947133352187,0.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4866.855990931399,8.0,0.0,4.0,4866.855990931399,4866.897501072966,4866.928746158801,4867.163319357629,4872.093316855527,4873.409896424295,4877.979148901308,4880.113275863097,4880.260937584531,4881.328707807986,4881.473484770652,4883.008596390219,4884.18816953528,4885.0021799983215,4886.380160910337,4886.480781718525
4868.822416451228,8.0,0.0,4.0,4869.991388044746,4870.361186978775,4870.420655477883,4870.861560368724,4873.748093099181,4874.120298437699,4880.113275863097,4881.326271929161,4881.328707807986,4882.117645655891,4883.008596390219,4883.241157682416,4885.0021799983215,4885.9235001632105,4886.480781718525,4887.276441334512
4869.806081424973,8.0,0.0,4.0,4872.47078101469,4873.0115541815885,4873.7818221563,4876.610966286623,4876.610966286623,4878.188670389136,4881.326271929161,4881.489844932384,4882.117645655891,4884.252968453102,4884.252968453102,4884.449284449174,4885.9235001632105,4885.9701376994735,4887.276441334512,4887.699299050093
4887.549716278362,0.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4888.11618761192,0.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4870.88300190722,8.0,0.0,4.0,4873.0115541815885,4873.529376876767,4876.610966286623,4878.218710888441,4878.218710888441,4879.010749754726,4881.489844932384,4881.51401054171,4884.252968453102,4884.88303189567,4884.88303189567,4884.988241916842,4885.9701376994735,4889.908796422458,4889.908796422458,4894.1185752365955
4871.36778185833,8.0,0.0,4.0,4873.529376876767,4874.22265473627,4878.218710888441,4878.655312028521,4879.010749754726,4880.767233708354,4881.51401054171,4881.759035919272,4884.88303189567,4886.9841336884565,4886.9841336884565,4887.141180656113,4889.908796422458,4890.2304052179115,4894.1185752365955,4895.200885114709
